gene_id	gene_type	gene_status	gene_name
ENSG00000162068.1	protein_coding	KNOWN	NTN3
ENSG00000234356.1	pseudogene	KNOWN	AC009945.4
ENSG00000242268.1	lincRNA	NOVEL	RP11-368I23.2
ENSG00000167578.11	protein_coding	KNOWN	RAB4B
ENSG00000078237.4	protein_coding	KNOWN	C12orf5
ENSG00000263642.1	miRNA	KNOWN	MIR4802
ENSG00000225275.4	pseudogene	KNOWN	NUP210P2
ENSG00000060642.6	protein_coding	KNOWN	PIGV
ENSG00000201788.1	misc_RNA	KNOWN	Y_RNA
ENSG00000263089.1	antisense	NOVEL	RP11-166P13.4
ENSG00000172137.14	protein_coding	KNOWN	CALB2
ENSG00000240423.1	protein_coding	PUTATIVE	LINC00636
ENSG00000167700.3	protein_coding	KNOWN	MFSD3
ENSG00000264310.1	miRNA	KNOWN	AL157883.1
ENSG00000236040.1	pseudogene	KNOWN	RP11-165H20.4
ENSG00000231105.1	antisense	NOVEL	RP5-1071N3.1
ENSG00000236396.3	pseudogene	KNOWN	RP11-677O4.3
ENSG00000182141.4	protein_coding	KNOWN	ZNF708
ENSG00000201882.1	snoRNA	KNOWN	snoU2-30
ENSG00000197557.5	protein_coding	KNOWN	TTC30A
ENSG00000264981.1	pseudogene	KNOWN	RP11-434D2.10
ENSG00000259351.1	antisense	NOVEL	RP11-111E14.1
ENSG00000233540.1	sense_intronic	NOVEL	DNM3-IT1
ENSG00000252650.1	rRNA	KNOWN	RNA5SP75
ENSG00000102174.7	protein_coding	KNOWN	PHEX
ENSG00000232001.1	lincRNA	NOVEL	AC108868.6
ENSG00000232943.1	pseudogene	KNOWN	RP4-717M23.2
ENSG00000227959.1	antisense	NOVEL	RP11-276H7.2
ENSG00000227586.4	pseudogene	KNOWN	RP11-162A23.5
ENSG00000251538.1	lincRNA	NOVEL	RP11-166A12.1
ENSG00000152953.8	protein_coding	KNOWN	STK32B
ENSG00000267493.1	antisense	KNOWN	CIRBP-AS1
ENSG00000166368.2	protein_coding	KNOWN	OR2D2
ENSG00000078668.8	protein_coding	KNOWN	VDAC3
ENSG00000234900.1	lincRNA	NOVEL	RP1-278O22.2
ENSG00000095587.7	protein_coding	KNOWN	TLL2
ENSG00000182648.7	lincRNA	NOVEL	AC073871.2
ENSG00000251044.1	lincRNA	PUTATIVE	CTD-2582M21.1
ENSG00000267410.1	sense_intronic	KNOWN	CTD-2518G19.3
ENSG00000249830.1	lincRNA	NOVEL	RP11-121L11.3
ENSG00000225269.2	lincRNA	NOVEL	RP11-117P22.2
ENSG00000214062.5	pseudogene	KNOWN	RP11-1E1.1
ENSG00000264198.1	lincRNA	NOVEL	RP11-94L15.2
ENSG00000064601.11	protein_coding	KNOWN	CTSA
ENSG00000254102.1	lincRNA	NOVEL	RP11-21C4.1
ENSG00000185947.9	protein_coding	KNOWN	ZNF267
ENSG00000185652.6	protein_coding	KNOWN	NTF3
ENSG00000264085.1	miRNA	KNOWN	MIR5004
ENSG00000261475.2	lincRNA	NOVEL	CTD-2014E2.6
ENSG00000008517.12	protein_coding	KNOWN	IL32
ENSG00000266644.1	processed_transcript	NOVEL	RP11-927P21.2
ENSG00000233163.1	pseudogene	KNOWN	RP11-259F16.3
ENSG00000088179.4	protein_coding	KNOWN	PTPN4
ENSG00000166634.2	protein_coding	KNOWN	SERPINB12
ENSG00000199812.1	snRNA	KNOWN	U6
ENSG00000261789.1	antisense	NOVEL	RP11-709D24.5
ENSG00000227896.1	antisense	PUTATIVE	RP11-77P6.2
ENSG00000254092.1	lincRNA	PUTATIVE	RP11-369E15.3
ENSG00000260900.1	pseudogene	KNOWN	RP11-19N8.3
ENSG00000161558.5	protein_coding	KNOWN	TMEM143
ENSG00000250571.2	protein_coding	KNOWN	GLI4
ENSG00000264438.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000172890.4	protein_coding	KNOWN	NADSYN1
ENSG00000207000.1	snRNA	KNOWN	U6
ENSG00000254131.1	pseudogene	KNOWN	RP11-1007J8.1
ENSG00000118972.1	protein_coding	KNOWN	FGF23
ENSG00000264104.1	pseudogene	KNOWN	RP11-638L3.4
ENSG00000234881.1	pseudogene	KNOWN	RP11-417B4.4
ENSG00000179833.3	protein_coding	KNOWN	SERTAD2
ENSG00000165312.5	protein_coding	KNOWN	OTUD1
ENSG00000221372.1	miRNA	KNOWN	AC010739.1
ENSG00000159618.11	protein_coding	KNOWN	GPR114
ENSG00000249178.1	lincRNA	NOVEL	RP11-123G5.1
ENSG00000158966.9	protein_coding	KNOWN	CACHD1
ENSG00000234892.1	antisense	NOVEL	Z82214.2
ENSG00000226530.1	processed_transcript	PUTATIVE	RP11-348F1.2
ENSG00000252628.1	snRNA	KNOWN	U6
ENSG00000227535.1	antisense	NOVEL	RP11-809N15.2
ENSG00000166007.11	pseudogene	KNOWN	TRIM51HP
ENSG00000265191.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000167768.4	protein_coding	KNOWN	KRT1
ENSG00000171551.7	protein_coding	KNOWN	ECEL1
ENSG00000232216.1	IG_V_gene	KNOWN	IGHV3-43
ENSG00000264172.1	pseudogene	KNOWN	RP11-260A9.5
ENSG00000147257.9	protein_coding	KNOWN	GPC3
ENSG00000199903.1	snRNA	KNOWN	U6
ENSG00000257885.1	pseudogene	KNOWN	RP11-474C8.4
ENSG00000200058.1	rRNA	KNOWN	RNA5SP218
ENSG00000218358.2	pseudogene	KNOWN	RAET1K
ENSG00000264091.1	miRNA	KNOWN	AP002495.1
ENSG00000238921.2	miRNA	KNOWN	AL360178.1
ENSG00000200291.1	misc_RNA	KNOWN	Y_RNA
ENSG00000236998.1	pseudogene	KNOWN	RP11-203L2.3
ENSG00000246526.2	lincRNA	NOVEL	RP11-539L10.2
ENSG00000241670.2	pseudogene	KNOWN	AP006222.1
ENSG00000259659.1	sense_intronic	NOVEL	RP11-151N17.1
ENSG00000202175.1	rRNA	KNOWN	RNA5SP128
ENSG00000174442.7	protein_coding	KNOWN	ZWILCH
ENSG00000235523.1	lincRNA	NOVEL	RP11-63P12.7
ENSG00000249848.1	pseudogene	KNOWN	RP11-212F11.1
ENSG00000265704.1	miRNA	KNOWN	AC010595.1
ENSG00000125827.4	protein_coding	KNOWN	TMX4
ENSG00000230225.1	pseudogene	KNOWN	MTND5P14
ENSG00000125744.7	protein_coding	KNOWN	RTN2
ENSG00000201398.1	snoRNA	KNOWN	U8
ENSG00000239877.1	processed_transcript	NOVEL	IGSF11-AS1
ENSG00000235571.1	pseudogene	KNOWN	SNX18P14
ENSG00000236104.2	protein_coding	KNOWN	ZBTB22
ENSG00000225630.1	pseudogene	KNOWN	MTND2P28
ENSG00000230231.1	pseudogene	KNOWN	FMO7P
ENSG00000231880.1	protein_coding	KNOWN	AC104942.1
ENSG00000103089.4	protein_coding	KNOWN	FA2H
ENSG00000227489.1	lincRNA	PUTATIVE	AC006458.3
ENSG00000013392.5	protein_coding	KNOWN	RWDD2A
ENSG00000226688.1	processed_transcript	NOVEL	RP11-429G19.2
ENSG00000258279.1	processed_transcript	KNOWN	LINC00592
ENSG00000250929.2	processed_transcript	NOVEL	KB-1639H6.4
ENSG00000204581.2	antisense	NOVEL	AC096670.3
ENSG00000265515.1	miRNA	KNOWN	AC092287.1
ENSG00000225620.1	lincRNA	NOVEL	RP11-569A11.2
ENSG00000232638.1	lincRNA	PUTATIVE	RP11-379F12.4
ENSG00000206260.2	protein_coding	NOVEL	PRR23A
ENSG00000237786.1	antisense	NOVEL	GFOD1-AS1
ENSG00000184178.11	protein_coding	KNOWN	SCFD2
ENSG00000230039.1	pseudogene	KNOWN	RP11-314A15.2
ENSG00000244661.1	TR_V_pseudogene	KNOWN	TRBV12-1
ENSG00000069399.8	protein_coding	KNOWN	BCL3
ENSG00000232879.1	pseudogene	KNOWN	RP11-544M22.3
ENSG00000256014.1	pseudogene	KNOWN	AL031390.1
ENSG00000164182.6	protein_coding	KNOWN	NDUFAF2
ENSG00000252799.1	snoRNA	KNOWN	snoU13
ENSG00000136381.8	protein_coding	KNOWN	IREB2
ENSG00000173566.9	protein_coding	KNOWN	NUDT18
ENSG00000137642.7	protein_coding	KNOWN	SORL1
ENSG00000153015.10	protein_coding	KNOWN	CWC27
ENSG00000214866.3	protein_coding	NOVEL	DCDC2C
ENSG00000262355.1	protein_coding	KNOWN	SAMD4A
ENSG00000261949.1	protein_coding	PUTATIVE	CTD-3148I10.1
ENSG00000180739.12	protein_coding	KNOWN	S1PR5
ENSG00000202290.1	rRNA	KNOWN	RNA5SP37
ENSG00000254578.1	antisense	NOVEL	CTD-2517M22.16
ENSG00000240710.1	antisense	NOVEL	RP11-430C7.4
ENSG00000225215.1	pseudogene	KNOWN	SMARCE1P1
ENSG00000036448.5	protein_coding	KNOWN	MYOM2
ENSG00000257246.1	pseudogene	KNOWN	RP11-416A17.6
ENSG00000250210.3	protein_coding	KNOWN	RP11-585F1.10
ENSG00000185269.7	protein_coding	KNOWN	NOTUM
ENSG00000264583.1	miRNA	KNOWN	MIR4487
ENSG00000231027.1	pseudogene	KNOWN	AC079325.6
ENSG00000267552.1	protein_coding	NOVEL	CTD-2528L19.4
ENSG00000224695.1	pseudogene	KNOWN	MTND6P7
ENSG00000255189.1	pseudogene	KNOWN	GLYATL1P1
ENSG00000164114.14	protein_coding	KNOWN	MAP9
ENSG00000231699.1	pseudogene	KNOWN	AC020550.7
ENSG00000182271.8	protein_coding	KNOWN	TMIGD1
ENSG00000251710.1	miRNA	KNOWN	AC010295.1
ENSG00000210184.1	Mt_tRNA	KNOWN	J01415.19
ENSG00000179632.5	protein_coding	KNOWN	MAF1
ENSG00000224570.1	pseudogene	KNOWN	RP11-430H12.2
ENSG00000147160.5	protein_coding	KNOWN	AWAT2
ENSG00000114861.14	protein_coding	KNOWN	FOXP1
ENSG00000226951.1	pseudogene	KNOWN	RP11-15J10.7
ENSG00000243073.3	protein_coding	KNOWN	PRAMEF4
ENSG00000152942.14	protein_coding	KNOWN	RAD17
ENSG00000162290.11	processed_transcript	KNOWN	DCP1A
ENSG00000240809.1	pseudogene	KNOWN	RP11-550F7.1
ENSG00000100968.9	protein_coding	KNOWN	NFATC4
ENSG00000224560.3	pseudogene	KNOWN	RP11-270L13.1
ENSG00000257464.1	pseudogene	KNOWN	RP11-161H23.8
ENSG00000227233.1	pseudogene	KNOWN	CTD-2021A8.1
ENSG00000085721.8	protein_coding	KNOWN	RRN3
ENSG00000136169.11	protein_coding	KNOWN	SETDB2
ENSG00000201476.1	rRNA	KNOWN	RNA5SP353
ENSG00000121644.14	protein_coding	KNOWN	DESI2
ENSG00000138495.2	protein_coding	KNOWN	COX17
ENSG00000266667.1	lincRNA	NOVEL	RP11-849N15.4
ENSG00000204528.3	sense_intronic	KNOWN	PSORS1C3
ENSG00000239344.1	pseudogene	KNOWN	RP11-771F20.1
ENSG00000251286.1	pseudogene	KNOWN	RP11-588F10.1
ENSG00000101323.4	protein_coding	KNOWN	HAO1
ENSG00000111863.7	protein_coding	KNOWN	ADTRP
ENSG00000263711.1	protein_coding	NOVEL	RP11-169F17.1
ENSG00000262662.1	antisense	NOVEL	CTD-2561B21.3
ENSG00000219395.2	pseudogene	KNOWN	RP11-351K16.4
ENSG00000197414.7	protein_coding	KNOWN	GOLGA6L1
ENSG00000236400.1	pseudogene	KNOWN	KRTAP21-4P
ENSG00000255349.1	pseudogene	KNOWN	OR4A7P
ENSG00000123444.9	protein_coding	KNOWN	KBTBD4
ENSG00000266135.1	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000226086.4	pseudogene	KNOWN	RP11-508N22.4
ENSG00000235023.1	antisense	NOVEL	AP001626.2
ENSG00000176973.7	protein_coding	KNOWN	FAM89B
ENSG00000252189.1	snoRNA	KNOWN	U3
ENSG00000221462.2	snoRNA	KNOWN	SNORA76
ENSG00000211682.2	IG_J_gene	KNOWN	IGLJ6
ENSG00000231630.1	lincRNA	NOVEL	RP11-740P5.3
ENSG00000179262.4	protein_coding	KNOWN	RAD23A
ENSG00000249514.1	pseudogene	KNOWN	CTD-2266L18.1
ENSG00000183911.7	pseudogene	KNOWN	RPL21P132
ENSG00000231827.2	pseudogene	KNOWN	RP11-216N14.5
ENSG00000159479.12	protein_coding	KNOWN	MED8
ENSG00000112511.13	protein_coding	KNOWN	PHF1
ENSG00000254392.1	pseudogene	KNOWN	RP11-759A9.2
ENSG00000111669.9	protein_coding	KNOWN	TPI1
ENSG00000231062.1	antisense	NOVEL	AC103563.9
ENSG00000259221.1	antisense	NOVEL	CTD-2050N2.1
ENSG00000159915.8	protein_coding	KNOWN	ZNF233
ENSG00000200606.1	misc_RNA	KNOWN	Y_RNA
ENSG00000178297.8	protein_coding	KNOWN	TMPRSS9
ENSG00000143248.7	protein_coding	KNOWN	RGS5
ENSG00000253946.1	pseudogene	KNOWN	CTC-425K20.1
ENSG00000234336.2	antisense	NOVEL	JAZF1-AS1
ENSG00000144504.11	protein_coding	KNOWN	ANKMY1
ENSG00000164116.12	protein_coding	KNOWN	GUCY1A3
ENSG00000197019.4	protein_coding	KNOWN	SERTAD1
ENSG00000138669.5	protein_coding	KNOWN	PRKG2
ENSG00000210117.1	Mt_tRNA	KNOWN	J01415.8
ENSG00000250927.1	pseudogene	KNOWN	MESTP3
ENSG00000174013.7	protein_coding	KNOWN	FBXO45
ENSG00000235110.4	pseudogene	KNOWN	RP11-8J23.1
ENSG00000227863.1	lincRNA	NOVEL	AC002383.2
ENSG00000259235.1	lincRNA	NOVEL	RP11-605F22.2
ENSG00000258507.1	processed_transcript	PUTATIVE	RP13-582L3.4
ENSG00000244019.1	pseudogene	KNOWN	CTC-337B15.1
ENSG00000222054.1	rRNA	KNOWN	RNA5SP177
ENSG00000243911.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000251234.1	pseudogene	KNOWN	PSMA2P2
ENSG00000106069.14	protein_coding	KNOWN	CHN2
ENSG00000227851.1	lincRNA	PUTATIVE	RP11-381K7.1
ENSG00000225715.1	pseudogene	KNOWN	RP11-325E14.5
ENSG00000188280.7	protein_coding	PUTATIVE	AC007731.1
ENSG00000176928.4	protein_coding	KNOWN	GCNT4
ENSG00000233714.1	lincRNA	NOVEL	AC012506.2
ENSG00000201529.1	misc_RNA	KNOWN	Y_RNA
ENSG00000240250.2	misc_RNA	KNOWN	Metazoa_SRP
ENSG00000129455.10	protein_coding	KNOWN	KLK8
ENSG00000241728.1	processed_transcript	PUTATIVE	AP001062.8
ENSG00000216902.3	pseudogene	KNOWN	RP1-161C16.1
